datetime_beginning_utc,datetime_beginning_ept,pnode_name,pnode_id,marginal_co2_rate,marginal_so2_rate,marginal_nox_rate
6/23/2023 1:00:00 PM,6/23/2023 9:00:00 AM,PJM-RTO,1,1083.1131316417,0.2317225505,0.2180885157
6/23/2023 12:00:00 PM,6/23/2023 8:00:00 AM,PJM-RTO,1,869.7807346767,0.0043256287,0.0967627596
6/23/2023 11:00:00 AM,6/23/2023 7:00:00 AM,PJM-RTO,1,832.4092759475,0.0031405169,0.0462908446
6/23/2023 10:00:00 AM,6/23/2023 6:00:00 AM,PJM-RTO,1,854.7989726200,0.0040547180,0.0729683796
6/23/2023 9:00:00 AM,6/23/2023 5:00:00 AM,PJM-RTO,1,923.8985271192,0.0679655995,0.0985882718
6/23/2023 8:00:00 AM,6/23/2023 4:00:00 AM,PJM-RTO,1,1218.2183458442,0.3580751406,0.5231015510
6/23/2023 7:00:00 AM,6/23/2023 3:00:00 AM,PJM-RTO,1,1337.7189806025,0.5356621077,0.4650971761
6/23/2023 6:00:00 AM,6/23/2023 2:00:00 AM,PJM-RTO,1,1396.1953785225,0.4844708836,0.4371233511
6/23/2023 5:00:00 AM,6/23/2023 1:00:00 AM,PJM-RTO,1,1611.1170637942,0.7449594459,0.9249400512
6/23/2023 4:00:00 AM,6/23/2023 12:00:00 AM,PJM-RTO,1,1732.0348330450,0.8113853717,1.1137252585
6/23/2023 3:00:00 AM,6/22/2023 11:00:00 PM,PJM-RTO,1,1543.1041579425,0.5032029534,0.6137287486
6/23/2023 2:00:00 AM,6/22/2023 10:00:00 PM,PJM-RTO,1,1236.2568589050,0.2160919437,1.8095687780
6/23/2023 1:00:00 AM,6/22/2023 9:00:00 PM,PJM-RTO,1,1063.5974756717,0.0227004266,0.4501423302
6/23/2023 12:00:00 AM,6/22/2023 8:00:00 PM,PJM-RTO,1,1051.3284642900,0.0053592022,0.1697503013
6/22/2023 11:00:00 PM,6/22/2023 7:00:00 PM,PJM-RTO,1,1277.6105837946,0.4482357579,0.6367967804
6/22/2023 10:00:00 PM,6/22/2023 6:00:00 PM,PJM-RTO,1,2737.0164246367,0.1047373212,0.9087890212
6/22/2023 8:00:00 PM,6/22/2023 4:00:00 PM,PJM-RTO,1,96.8782421275,0.4833269018,4.1813277148
6/22/2023 7:00:00 PM,6/22/2023 3:00:00 PM,PJM-RTO,1,1187.7215315950,0.2906023267,0.9409591371
6/22/2023 6:00:00 PM,6/22/2023 2:00:00 PM,PJM-RTO,1,1718.2455609625,0.6919460982,0.7261430758
6/22/2023 5:00:00 PM,6/22/2023 1:00:00 PM,PJM-RTO,1,1096.1769291517,0.2908327021,0.1907994183
6/22/2023 4:00:00 PM,6/22/2023 12:00:00 PM,PJM-RTO,1,1132.0500625258,0.4223778509,0.2642274205
6/22/2023 3:00:00 PM,6/22/2023 11:00:00 AM,PJM-RTO,1,942.5101064292,0.0047747762,0.0742426118
6/22/2023 2:00:00 PM,6/22/2023 10:00:00 AM,PJM-RTO,1,1163.5542387100,0.2159466756,0.2306751514
6/22/2023 1:00:00 PM,6/22/2023 9:00:00 AM,PJM-RTO,1,664.0052142908,0.0033572406,0.0331013862
6/22/2023 12:00:00 PM,6/22/2023 8:00:00 AM,PJM-RTO,1,921.5641800400,0.0406869224,0.0972093051
6/22/2023 11:00:00 AM,6/22/2023 7:00:00 AM,PJM-RTO,1,826.1514400067,0.0041846636,0.0458804625
6/22/2023 10:00:00 AM,6/22/2023 6:00:00 AM,PJM-RTO,1,852.1790134167,0.0042896113,0.0572271826
6/22/2023 9:00:00 AM,6/22/2023 5:00:00 AM,PJM-RTO,1,880.8224944108,0.0041582128,0.0649976052
6/22/2023 8:00:00 AM,6/22/2023 4:00:00 AM,PJM-RTO,1,1048.5784839908,0.1994408128,0.3871775015
6/22/2023 7:00:00 AM,6/22/2023 3:00:00 AM,PJM-RTO,1,981.2337237742,0.2155562394,0.1330343939
6/22/2023 6:00:00 AM,6/22/2023 2:00:00 AM,PJM-RTO,1,1478.7253607825,0.4633237990,0.7260567627
