Open,Close,High,Low,Volume,Date
0,87.25,0,0,,02/05/18
0,88.4,0,0,,02/02/18
88.5,87.75,88.5,88.25,,02/01/18
90.4,89.6,90.4,89.9,,01/31/18
0,90.85,0,0,,01/30/18
92.5,91.2,92.5,92.5,,01/29/18
0,92.4,0,0,,01/26/18
0,95.2,0,0,,01/25/18
0,95.15,0,0,,01/24/18
0,95.25,0,0,,01/23/18
0,95.25,0,0,,01/22/18
0,95.2,0,0,,01/19/18
0,95,0,0,,01/18/18
0,95.2,0,0,,01/17/18
0,95.35,0,0,,01/16/18
95.5,95.5,95.5,95.5,,01/15/18
95.7,95.55,95.7,95.7,,01/12/18
0,95.4,0,0,,01/11/18
0,95.65,0,0,,01/10/18
0,96.1,0,0,,01/09/18
96.7,96.45,96.7,96.6,,01/08/18
96.25,96.25,96.25,96.25,,01/05/18
96,96.15,96,96,,01/04/18
97.5,96.45,97.5,97.5,,01/03/18
0,96.65,0,0,,01/02/18
0,94.8,0,0,,12/29/17
0,94.8,0,0,,12/28/17
0,94.8,0,0,,12/27/17
0,94.8,0,0,,12/26/17
0,94.8,0,0,,12/22/17
0,94.8,0,0,,12/21/17
0,94.85,0,0,,12/20/17
0,94.85,0,0,,12/19/17
0,95.1,0,0,,12/18/17
0,95.15,0,0,,12/15/17
0,95.1,0,0,,12/14/17
0,95,0,0,,12/13/17
95.4,95.3,95.65,95.25,,12/12/17
94.5,94.7,94.5,94.5,,12/11/17
93.85,94.4,94,93.85,,12/08/17
0,93.7,0,0,,12/07/17
93.25,93.9,93.25,93.25,,12/06/17
93.75,93.35,93.75,93.75,,12/05/17
93.4,93.55,93.4,93.4,,12/04/17
0,92.7,0,0,,12/01/17
93,92.7,93,92.65,,11/30/17
92.9,93,93,92.9,,11/29/17
91.9,92.05,92,91.9,,11/28/17
91.75,91.85,91.75,91.75,,11/27/17
0,92.15,0,0,,11/24/17
0,94.1,0,0,,11/23/17
0,93.9,0,0,,11/22/17
0,93.8,0,0,,11/21/17
0,94.05,0,0,,11/20/17
0,93.8,0,0,,11/17/17
0,93.95,0,0,,11/16/17
0,93.85,0,0,,11/15/17
0,94.25,0,0,,11/14/17
0,94.75,0,0,,11/13/17
0,95.35,0,0,,11/10/17
0,94.7,0,0,,11/09/17
94.75,94.95,94.75,94.25,,11/08/17
0,94.8,0,0,,11/07/17
95,94.75,95,95,,11/06/17
0,94,0,0,,11/03/17
0,95.05,0,0,,11/02/17
0,95.25,0,0,,11/01/17
93.5,94.8,94.25,93.5,,10/31/17
92.75,93.05,93,92.75,,10/30/17
0,92.5,0,0,,10/27/17
0,92.15,0,0,,10/26/17
0,91.95,0,0,,10/25/17
0,92.35,0,0,,10/24/17
0,91.8,0,0,,10/23/17
92,91.95,92,92,,10/20/17
0,91.85,0,0,,10/19/17
92.5,92.5,92.5,92.5,,10/18/17
92,92.3,92,92,,10/17/17
92,92.05,92,92,,10/16/17
0,91.2,0,0,,10/13/17
91,91.4,91.25,91,,10/12/17
90.6,90.55,90.7,90,,10/11/17
90.85,90.85,90.85,90.85,,10/10/17
90.25,90.8,90.25,90.25,,10/09/17
91,90.8,91,90.95,,10/06/17
0,92.25,0,0,,10/05/17
92.85,92.5,92.9,92.85,,10/04/17
0,91.8,0,0,,10/03/17
0,90.65,0,0,,10/02/17
0,88.4,0,0,,09/29/17
0,91.45,0,0,,09/28/17
0,91.5,0,0,,09/27/17
0,91.75,0,0,,09/26/17
0,92.75,0,0,,09/25/17
0,91.75,0,0,,09/22/17
0,91.6,0,0,,09/21/17
0,92.25,0,0,,09/20/17
0,92.35,0,0,,09/19/17
0,91.65,0,0,,09/18/17
0,91.7,0,0,,09/15/17
0,91.8,0,0,,09/14/17
0,91.25,0,0,,09/13/17
0,90,0,0,,09/12/17
0,90.15,0,0,,09/11/17
0,89.8,0,0,,09/08/17
0,89.15,0,0,,09/07/17
0,89.15,0,0,,09/06/17
0,89.15,0,0,,09/05/17
88.2,88.6,88.35,88.2,,09/04/17
87.8,88.05,88.4,87.8,,09/01/17
88.25,87.65,88.25,88,,08/31/17
89,89.1,89,89,,08/30/17
89.9,89.55,89.9,89.25,,08/29/17
0,89,0,0,,08/28/17
0,88.5,0,0,,08/25/17
0,85.15,0,0,,08/24/17
0,85.4,0,0,,08/23/17
0,85.25,0,0,,08/22/17
0,85.2,0,0,,08/21/17
0,86.25,0,0,,08/18/17
0,86.1,0,0,,08/17/17
0,85.35,0,0,,08/16/17
0,84.75,0,0,,08/15/17
0,85.4,0,0,,08/14/17
0,85.1,0,0,,08/11/17
0,84.4,0,0,,08/10/17
84.05,84.1,84.05,84.05,,08/09/17
83.65,83.5,83.65,83.55,,08/08/17
0,84,0,0,,08/07/17
0,83.6,0,0,,08/04/17
82.2,82.8,82.6,82.2,,08/03/17
82,82.1,82,82,,08/02/17
82.95,82.25,82.95,82.95,,08/01/17
0,83.25,0,0,,07/31/17
0,82.4,0,0,,07/28/17
0,83.5,0,0,,07/27/17
0,83.5,0,0,,07/26/17
0,83.55,0,0,,07/25/17
0,83.45,0,0,,07/24/17
0,83.6,0,0,,07/21/17
0,83.4,0,0,,07/20/17
0,83,0,0,,07/19/17
0,83.4,0,0,,07/18/17
0,83.5,0,0,,07/17/17
0,83.3,0,0,,07/14/17
84.15,83.15,84.15,83.25,,07/13/17
84.5,84.3,84.5,84.5,,07/12/17
0,84.65,0,0,,07/11/17
84.9,84.65,84.9,84.9,,07/10/17
0,85.45,0,0,,07/07/17
84.4,85.5,85.5,84.4,,07/06/17
0,84.05,0,0,,07/05/17
0,81.75,0,0,,07/04/17
0,80.7,0,0,,07/03/17
0,79.45,0,0,,06/30/17
0,79,0,0,,06/29/17
0,79.05,0,0,,06/28/17
0,79.1,0,0,,06/27/17
0,78.9,0,0,,06/26/17
0,78.85,0,0,,06/23/17
0,78.9,0,0,,06/22/17
0,79.05,0,0,,06/21/17
0,79.05,0,0,,06/20/17
0,79.15,0,0,,06/19/17
0,78.55,0,0,,06/16/17
0,78.3,0,0,,06/15/17
0,78.15,0,0,,06/14/17
0,78.75,0,0,,06/13/17
0,78.65,0,0,,06/12/17
78.5,78.55,78.75,78.5,,06/09/17
78.25,78.5,78.25,78.25,,06/08/17
78,77.85,78.25,78,,06/07/17
78,77.4,78.15,77.45,,06/06/17
77.75,77.85,77.75,77.75,,06/05/17
0,77.5,0,0,,06/02/17
76.8,77.3,77.1,76.7,,06/01/17
77,76.55,77,77,,05/31/17
0,77.75,0,0,,05/30/17
0,76.2,0,0,,05/29/17
0,76.2,0,0,,05/26/17
0,74.2,0,0,,05/25/17
0,74.25,0,0,,05/24/17
0,74.25,0,0,,05/23/17
0,74.95,0,0,,05/22/17
0,74.2,0,0,,05/19/17
0,74.1,0,0,,05/18/17
0,73.55,0,0,,05/17/17
0,73.25,0,0,,05/16/17
72.75,72.75,72.75,72.75,,05/15/17
0,72.7,0,0,,05/12/17
0,72.65,0,0,,05/11/17
0,73.1,0,0,,05/10/17
0,72.8,0,0,,05/09/17
0,72.7,0,0,,05/08/17
73.25,73.5,73.25,73.25,,05/05/17
0,73.55,0,0,,05/04/17
74,74.15,74,74,,05/03/17
74.1,74.3,74.2,74.1,,05/02/17
0,74.3,0,0,,05/01/17
0,74.3,0,0,,04/28/17
0,75.9,0,0,,04/27/17
0,75.35,0,0,,04/26/17
75.4,75.25,75.4,75.35,,04/25/17
75.45,75.25,75.45,75.45,,04/24/17
0,75.45,0,0,,04/21/17
0,75.55,0,0,,04/20/17
