"State","Facility Name","Facility ID","Year","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","CO2 Mass (short tons)","NOx Mass (short tons)","Heat Input (mmBtu)"
"NC","L V Sutton",2713,2012,1376962.75,,10331.77,1519472.951,3319.582,14831412.875
"NC","W H Weatherspoon",2716,2012,,,,,,
"NC","G G Allen",2718,2012,2206904.48,,707.328,2072474.946,2296.541,20199555.767
"NC","Buck",2720,2012,244234.27,,1411.502,242569.42,213.177,2364198.396
"NC","Cliffside",2721,2012,1462393.87,,298.775,1357756.978,409.26,13233473.993
"NC","Dan River",2723,2012,,,,,,
"NC","Marshall",2727,2012,10240007.05,,4599.068,9862615.511,11027.224,96126861.607
"NC","Riverbend",2732,2012,185268.55,,1548.702,202305.758,215.824,1971762.191
"ND","R M Heskett",2790,2012,440038.54,,1868.261,521348.248,967.028,4788735.371
"ND","Leland Olds",2817,2012,3727051.9,,38323.349,4049313.117,5259.759,37194043.976
"ND","Milton R Young",2823,2012,5696110.05,,2219.541,6052609.426,9266.152,55594760.849
"ND","Stanton",2824,2012,,8409636,2378.857,1393072.111,1791.057,13282629.519
"OH","Cardinal",2828,2012,7916182.09,,8143.937,7494512.883,2257.748,71457967.015
"OH","Walter C Beckjord Generating Station",2830,2012,3562010.29,,67068.831,3494429.067,7435.016,34059319.224
"OH","Miami Fort Power Station",2832,2012,9007809.79,,26406.888,8301341.758,6853.258,80909898.68
"OH","Ashtabula",2835,2012,305683.71,,6289.49,353810.671,528.623,3373490.662
"OH","Avon Lake Power Plant",2836,2012,2756686.85,568304.99,38307.484,2480887.925,4580.935,24180211.763
"OH","Eastlake",2837,2012,4867618.56,,54850.414,4599012.513,7120.049,43850224.159
"OH","Lake Shore",2838,2012,190026.9,,776.782,238992.057,332.014,2278738.011
"OH","Conesville",2840,2012,6314707.86,,12880.668,6761255.133,8462.512,64466601.447
"OH","Picway",2843,2012,4053.89,,66.891,5515.521,11.188,52588.888
"OH","O H Hutchings",2848,2012,59411.97,,411.011,71996.393,130.153,707149.354
"OH","J M Stuart",2850,2012,12610597,,8864.161,12386793.164,7838.728,120729042.511
"OH","Niles",2861,2012,56072.94,,1360.472,61141.01,282.305,595865.714
"OH","R E Burger",2864,2012,,,,,,
"OH","W H Sammis",2866,2012,9806974.35,,4064.266,9369803.374,5756.101,89338416.39
"OH","Muskingum River",2872,2012,1890167.87,,36137.348,1877552.785,2650.753,17901893.496
"OH","Kyger Creek",2876,2012,5168054.2,,4988.937,5658163.765,4578.577,53948938.514
"OH","Bay Shore",2878,2012,425551.22,10410577.66,4251.692,1973918.222,1310.391,18745770.833
"OH","Hamilton Municipal Power Plant",2917,2012,96720.49,,420.279,100694.171,155.96,984784.115
"OK","Muskogee",2952,2012,8597983.15,,22646.562,9528087.959,13921.969,91287176.805
"OK","Northeastern",2963,2012,6321321.48,,15486.969,6330701.443,6125.557,60361429.001
"PA","Elrama",3098,2012,107586.76,,249.511,130750.745,273.272,1274373.84
"PA","Portland",3113,2012,172764.04,,2381.997,175857.489,317.662,1714008.057
"PA","Titus",3115,2012,108646.07,,1077.677,109557.592,188.584,1067820.435
"PA","Conemaugh",3118,2012,11376057.55,,6311.717,10766149.413,16455.728,104961149.229
"PA","Homer City",3122,2012,10568174.55,,99773.562,10041794.29,10290.968,97873325.188
"PA","Seward",3130,2012,,13512102.06,4333.295,2133324.355,953.062,20814196.866
"PA","Shawville",3131,2012,1509192.41,,20483.046,1457952.128,2889.158,14210141.536
"PA","Keystone",3136,2012,10222266.29,,29419.793,9816792.366,17454.536,95680331.817
"PA","New Castle",3138,2012,412522.23,,4994.688,445836.486,855.879,4345416.782
"PA","Brunner Island, LLC",3140,2012,6531944.51,,12254.494,6048178.357,11321.248,58949145.354
"PA","Montour, LLC",3149,2012,8549004.1,,15136.639,7891446.405,15115.259,76914687.115
"PA","Sunbury",3152,2012,,1613508.42,2955.96,226845.997,327.696,2211009.696
"PA","Eddystone Generating Station",3161,2012,,,,,,
"PA","Armstrong Power Station",3178,2012,373714.39,,5184.473,363083.997,605.152,3538811.486
"PA","Hatfield's Ferry Power Station",3179,2012,10495729.16,,3790.599,9927195.281,23588.861,96756252.062
"PA","Mitchell Power Station",3181,2012,1267322.25,,1569.044,1271715.734,1969.914,12394902.878
"SC","H B Robinson",3251,2012,239474.5,,2235.503,245561.775,692.395,2397078.475
"SC","W S Lee",3264,2012,151894.91,,1308.848,159408.648,178.718,1553726.316
"SC","Canadys Steam",3280,2012,1757225.96,,16745.652,1626642.071,2718.226,15854223.456
"SC","McMeekin",3287,2012,637426.17,,2847.9,521581.064,895.295,5083678.348
"SC","Urquhart",3295,2012,445832.27,,2392.357,350937.679,393.775,4082612.646
"SC","Wateree",3297,2012,4046621.21,,3531.36,4075988.577,1856.823,39727052.728
"SC","Williams",3298,2012,4010667.08,,1030.797,3481583.082,1728.276,33933557.901
"SC","Dolphus M Grainger",3317,2012,,,,,,
"SC","Jefferies",3319,2012,356565.76,,4229.621,371185.986,867.372,3617804.618
"TN","Allen",3393,2012,4525560.19,,9608.901,4433339.36,1807.375,42385855.976
"TN","Bull Run",3396,2012,2068767.06,,304.568,1922962.502,747.456,18742325.726
"TN","Cumberland",3399,2012,15375732.15,,10100.837,15481824.877,7285.877,150894973.359
"TN","Gallatin",3403,2012,7033881.71,,21731.603,7227350.734,5315.161,68910766.157
"TN","John Sevier",3405,2012,644928.41,,4380.014,673770.362,793.759,6566997.409
